"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","859","test_create_courier_missing_required_fields_returns_error","tests","Fri Mar 21 00:38:08 MSK 2025","passed","Fri Mar 21 00:38:09 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","1070","Проверка успешной авторизации курьера","tests","Fri Mar 21 00:38:11 MSK 2025","passed","Fri Mar 21 00:38:12 MSK 2025","TestLoginCourier","test_login_courier","",""
"","2073","Проверка авторизации курьера с неверными данными","tests","Fri Mar 21 00:38:17 MSK 2025","passed","Fri Mar 21 00:38:19 MSK 2025","TestLoginCourier","test_login_courier","",""
"","525","Проверка создания заказа с разными цветами","tests","Fri Mar 21 00:37:52 MSK 2025","passed","Fri Mar 21 00:37:53 MSK 2025","TestCreateOrder","test_create_order","",""
"","427","Проверка наличия track в ответе при создании заказа","tests","Fri Mar 21 00:38:00 MSK 2025","passed","Fri Mar 21 00:38:01 MSK 2025","TestCreateOrder","test_create_order","",""
"","643","Проверка создания заказа с разными цветами","tests","Fri Mar 21 00:37:56 MSK 2025","passed","Fri Mar 21 00:37:57 MSK 2025","TestCreateOrder","test_create_order","",""
"","525","test_create_courier_without_required_fields","tests","Fri Mar 21 00:38:05 MSK 2025","passed","Fri Mar 21 00:38:05 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","1206","Проверка создания заказа с разными цветами","tests","Fri Mar 21 00:37:50 MSK 2025","passed","Fri Mar 21 00:37:51 MSK 2025","TestCreateOrder","test_create_order","",""
"","860","Проверка успешной авторизации курьера и получения id","tests","Fri Mar 21 00:38:25 MSK 2025","passed","Fri Mar 21 00:38:25 MSK 2025","TestLoginCourier","test_login_courier","",""
"","967","test_create_courier_with_existing_login","tests","Fri Mar 21 00:38:09 MSK 2025","passed","Fri Mar 21 00:38:10 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","496","Проверка авторизации курьера с отсутствующими обязательными полями","tests","Fri Mar 21 00:38:21 MSK 2025","passed","Fri Mar 21 00:38:22 MSK 2025","TestLoginCourier","test_login_courier","",""
"","540","Проверка авторизации курьера с отсутствующими обязательными полями","tests","Fri Mar 21 00:38:22 MSK 2025","passed","Fri Mar 21 00:38:23 MSK 2025","TestLoginCourier","test_login_courier","",""
"","561","Проверка создания заказа с разными цветами","tests","Fri Mar 21 00:37:54 MSK 2025","passed","Fri Mar 21 00:37:54 MSK 2025","TestCreateOrder","test_create_order","",""
"","922","test_cannot_create_duplicate_courier","tests","Fri Mar 21 00:38:03 MSK 2025","passed","Fri Mar 21 00:38:04 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","635","test_create_courier_returns_correct_response","tests","Fri Mar 21 00:38:06 MSK 2025","passed","Fri Mar 21 00:38:07 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","1658","Проверка получения списка заказов","tests","Fri Mar 21 00:38:26 MSK 2025","passed","Fri Mar 21 00:38:28 MSK 2025","TestOrderList","test_order_list","",""
"","1378","Проверка авторизации курьера с обязательными полями","tests","Fri Mar 21 00:38:13 MSK 2025","passed","Fri Mar 21 00:38:15 MSK 2025","TestLoginCourier","test_login_courier","",""
"","431","test_create_courier","tests","Fri Mar 21 00:38:02 MSK 2025","passed","Fri Mar 21 00:38:02 MSK 2025","TestCreateCourier","test_creating_a_courier","",""
"","544","Проверка наличия track в ответе при создании заказа","tests","Fri Mar 21 00:37:59 MSK 2025","passed","Fri Mar 21 00:37:59 MSK 2025","TestCreateOrder","test_create_order","",""
"","571","Проверка авторизации несуществующего курьера","tests","Fri Mar 21 00:38:24 MSK 2025","passed","Fri Mar 21 00:38:24 MSK 2025","TestLoginCourier","test_login_courier","",""
